TFBGA240_ball,TFBGA240_note,pin_name,pin_type,io_structure,notes,alternate_functions,additional_functions,LQFP100,TFBGA100,LQFP144,UFBGA169,UFBGA176+25,LQFP176,LQFP208,TFBGA240+25_raw,ds_page
G17,,VDD50US B(8),S,-,-,-,-,-,-,-,G12,-,-,-,G17,78
F17,,VDD33US B,S,-,-,-,-,-,F6,95,G13,H13,114,137,F17,78
M5,,VDD,S,-,-,-,-,-,-,-,-,-,-,-,M5,78
F14,,PC6,I/O,FT_h,-,"HRTIM_CHA1, TIM3_CH1, TIM8_CH1, DFSDM1_CKIN3, I2S2_MCK, USART6_TX, SDMMC1_D0DIR, FMC_NWAIT, SDMMC2_D6, SDMMC1_D6, DCMI_D0, LCD_HSYNC, EVENTOUT",SWPMI_IO,63,F10,96,F9,H15,115,138,F14,79
F13,,PC7,I/O,FT_h,-,"TRGIO, HRTIM_CHA2, TIM3_CH2, TIM8_CH2, DFSDM1_DATIN3, I2S3_MCK, USART6_RX, SDMMC1_D123DIR, FMC_NE1, SDMMC2_D7, SWPMI_TX, SDMMC1_D7, DCMI_D1, LCD_G6, EVENTOUT",-,64,E10,97,F10,G15,116,139,F13,79
E13,,PC8,I/O,FT_h,-,"TRACED1, HRTIM_CHB1, TIM3_CH3, TIM8_CH3, USART6_CK, UART5_RTS/UART5_DE , FMC_NE2/FMC_NCE, SWPMI_RX, SDMMC1_D0, DCMI_D2, EVENTOUT",-,65,F9,98,F12,G14,117,140,E13,79
E14,,PC9,I/O,FT_fh,-,"MCO2, TIM3_CH4, TIM8_CH4, I2C3_SDA, I2S_CKIN, UART5_CTS, QUADSPI_BK1_IO0, LCD_G3, SWPMI_SUSPEND, SDMMC1_D1, DCMI_D3, LCD_B2, EVENTOUT",-,66,E9,99,F11,F14,118,141,E14,79
-,,VSS,S,-,-,-,-,-,-,-,-,G8,-,-,-,79
L5,,VDD,S,-,-,-,-,-,-,-,-,-,-,-,L5,79
E15,,PA8,I/O,FT_fh a,-,"MCO1, TIM1_CH1, HRTIM_CHB2, TIM8_BKIN2, I2C3_SCL, USART1_CK, OTG_FS_SOF, UART7_RX, TIM8_BKIN2_COMP12, LCD_B3, LCD_R6, EVENTOUT",-,67,D9,100,E12,F15,119,142,E15,80
D15,,PA9,I/O,FT_u,-,"TIM1_CH2, HRTIM_CHC1, LPUART1_TX, I2C3_SMBA, SPI2_SCK/I2S2_CK, USART1_TX, ETH_TX_ER, DCMI_D0, LCD_R5, EVENTOUT",OTG_FS_VBUS,68,C9,101,E11,E15,120,143,D15,80
D14,,PA10,I/O,FT_u,-,"TIM1_CH3, HRTIM_CHC2, LPUART1_RX, USART1_RX, OTG_FS_ID, MDIOS_MDIO, LCD_B4, DCMI_D1, LCD_B1, EVENTOUT",-,69,D10,102,E10,D15,121,144,D14,80
E17,,PA11,I/O,FT_u,-,"TIM1_CH4, HRTIM_CHD1, LPUART1_CTS, SPI2_NSS/I2S2_WS, UART4_RX, USART1_CTS/USART1_ NSS, FDCAN1_RX, OTG_FS_DM, LCD_R4, EVENTOUT",-,70,C10,103,F13,C15,122,145,E17,80
E16,,PA12,I/O,FT_u,-,"TIM1_ETR, HRTIM_CHD2, LPUART1_RTS/LPUART 1_DE, SPI2_SCK/I2S2_CK, UART4_TX, USART1_RTS/USART1_ DE, SAI2_FS_B, FDCAN1_TX, OTG_FS_DP, LCD_R5, EVENTOUT",-,71,B10,104,E13,B15,123,146,E16,80
C15,,PA13(JTM S/SWDIO),I/O,FT,-,"JTMS-SWDIO, EVENTOUT",-,72,A10,105,D11,A15,124,147,C15,80
D17,,VCAP,S,-,-,-,-,73,E7,106,D13,F13,125,148,D17,81
-,,VSS,S,-,-,-,-,74,E5,107,-,F12,126,149,-,81
C17,,VDDLDO(6 ),S,-,-,-,-,-,-,-,D12,-,-,-,C17,81
K5,,VDD,S,-,-,-,-,75,-,108,-,G13,127,150,K5,81
D16,,PH13,I/O,FT_h,-,"TIM8_CH1N, UART4_TX, FDCAN1_TX, FMC_D21, LCD_G2, EVENTOUT",-,-,-,-,-,E12,128,151,D16,81
B17,,PH14,I/O,FT_h,-,"TIM8_CH2N, UART4_RX, FDCAN1_RX, FMC_D22, DCMI_D4, LCD_G3, EVENTOUT",-,-,-,-,-,E13,129,152,B17,81
B16,,PH15,I/O,FT_h,-,"TIM8_CH3N, FMC_D23, DCMI_D11, LCD_G4, EVENTOUT",-,-,-,-,-,D13,130,153,B16,81
A16,,PI0,I/O,FT_h,-,"TIM5_CH4, SPI2_NSS/I2S2_WS, FMC_D24, DCMI_D13, LCD_G5, EVENTOUT",-,-,-,-,A13,E14,131,154,A16,81
-,,VSS,S,-,-,-,-,-,-,-,-,G9,-,-,-,81
A15,,PI1,I/O,FT_h,-,"TIM8_BKIN2, SPI2_SCK/I2S2_CK, TIM8_BKIN2_COMP12, FMC_D25, DCMI_D8, LCD_G6, EVENTOUT",-,-,-,-,B13,D14,132,155,A15,81
B15,,PI2,I/O,FT_h,-,"TIM8_CH4, SPI2_MISO/I2S2_SDI, FMC_D26, DCMI_D9, LCD_G7, EVENTOUT",-,-,-,-,A6,C14,133,156,B15,81
C14,,PI3,I/O,FT_h,-,"TIM8_ETR, SPI2_MOSI/I2S2_SDO, FMC_D27, DCMI_D10, EVENTOUT",-,-,-,-,B7,C13,134,157,C14,81
-,,VSS,S,-,-,-,-,-,-,-,-,D9,135,-,-,81
-,,VDD,S,-,-,-,-,-,-,-,-,C9,136,158,-,81
B14,,PA14(JTC K/SWCLK),I/O,FT,-,"JTCK-SWCLK, EVENTOUT",-,76,A9,109,B12,A14,137,159,B14,81
A14,,PA15(JTDI ),I/O,FT,-,"JTDI, TIM2_CH1/TIM2_ETR, HRTIM_FLT1, CEC, SPI1_NSS/I2S1_WS, SPI3_NSS/I2S3_WS, SPI6_NSS, UART4_RTS/UART4_DE , UART7_TX, EVENTOUT",-,77,A8,110,C11,A13,138,160,A14,82
A13,,PC10,I/O,FT_h a,-,"HRTIM_EEV1, DFSDM1_CKIN5, SPI3_SCK/I2S3_CK, USART3_TX, UART4_TX, QUADSPI_BK1_IO1, SDMMC1_D2, DCMI_D8, LCD_R2, EVENTOUT",-,78,B9,111,A12,B14,139,161,A13,82
B13,,PC11,I/O,FT_h,-,"HRTIM_FLT2, DFSDM1_DATIN5, SPI3_MISO/I2S3_SDI, USART3_RX, UART4_RX, QUADSPI_BK2_NCS, SDMMC1_D3, DCMI_D4, EVENTOUT",-,79,B8,112,B11,B13,140,162,B13,82
C12,,PC12,I/O,FT_h,-,"TRACED3, HRTIM_EEV2, SPI3_MOSI/I2S3_SDO, USART3_CK, UART5_TX, SDMMC1_CK, DCMI_D9, EVENTOUT",-,80,C8,113,A11,A12,141,163,C12,82
-,,VSS,S,-,-,-,-,-,-,-,-,G10,-,-,-,82
D13,,PD0,I/O,FT_h,-,"DFSDM1_CKIN6, SAI3_SCK_A, UART4_RX, FDCAN1_RX, FMC_D2/FMC_DA2, EVENTOUT",-,81,D8,114,D10,B12,142,164,D13,82
E12,,PD1,I/O,FT_h,-,"DFSDM1_DATIN6, SAI3_SD_A, UART4_TX, FDCAN1_TX, FMC_D3/FMC_DA3, EVENTOUT",-,82,E8,115,C10,C12,143,165,E12,82
D12,,PD2,I/O,FT_h,-,"TRACED2, TIM3_ETR, UART5_RX, SDMMC1_CMD, DCMI_D11, EVENTOUT",-,83,B7,116,E9,D12,144,166,D12,83
B12,,PD3,I/O,FT_h,-,"DFSDM1_CKOUT, SPI2_SCK/I2S2_CK, USART2_CTS/USART2_ NSS, FMC_CLK, DCMI_D5, LCD_G7, EVENTOUT",-,84,C7,117,D9,D11,145,167,B12,83
A12,,PD4,I/O,FT_h,-,"HRTIM_FLT3, SAI3_FS_A, USART2_RTS/USART2_ DE, FMC_NOE, EVENTOUT",-,85,D7,118,C9,D10,146,168,A12,83
A11,,PD5,I/O,FT_h,-,"HRTIM_EEV3, USART2_TX, FMC_NWE, EVENTOUT",-,86,B6,119,A9,C11,147,169,A11,83
-,,VSS,S,-,-,-,-,-,-,120,-,D8,148,170,-,83
