pin,TFBGA240_ball,TFBGA240_note,io_structure,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,additional_functions,ds_page
PE13,T10,,FT_h,,TIM1_CH3,,DFSDM1_CKIN5,,SPI4_MISO,,,,,SAI2_FS_B,,FMC_D10/FMC_DA10,COMP2_OUT,LCD_DE,EVENTOUT,-,94
PE14,U10,,FT_h,,TIM1_CH4,,,,SPI4_MOSI,,,,,SAI2_MCLK_B,,FMC_D11/FMC_DA11,,LCD_CLK,EVENTOUT,-,94
PE15,R11,,FT_h,,TIM1_BKIN,,,,,,,,,,,FMC_D12/FMC_DA12,TIM1_BKIN_COMP12/COMP_TIM1_BKIN,LCD_R7,EVENTOUT,-,94
PF0,G4,,FT_f,,,,,I2C2_SDA,,,,,,,,FMC_A0,,,EVENTOUT,-,95
PF1,G3,,FT_f,,,,,I2C2_SCL,,,,,,,,FMC_A1,,,EVENTOUT,-,95
PF2,G1,,FT,,,,,I2C2_SMBA,,,,,,,,FMC_A2,,,EVENTOUT,-,95
PF3,H4,,FT_h a,,,,,,,,,,,,,FMC_A3,,,EVENTOUT,ADC3_INP5,95
PF4,J5,,FT_h a,,,,,,,,,,,,,FMC_A4,,,EVENTOUT,"ADC3_INN5, ADC3_INP9",95
PF5,J4,,FT_h a,,,,,,,,,,,,,FMC_A5,,,EVENTOUT,ADC3_INP4,95
PF6,K2,,FT_h a,,TIM16_CH1,,,,SPI5_NSS,SAI1_SD_B,UART7_RX,SAI4_SD_B,QUADSPI_BK1_IO3,,,,,,EVENTOUT,"ADC3_INN4, ADC3_INP8",95
PF7,K3,,FT_h a,,TIM17_CH1,,,,SPI5_SCK,SAI1_MCLK_B,UART7_TX,SAI4_MCLK_B,QUADSPI_BK1_IO2,,,,,,EVENTOUT,ADC3_INP3,95
PF8,K4,,FT_h a,,TIM16_CH1N,,,,SPI5_MISO,SAI1_SCK_B,UART7_RTS/UART7_DE,SAI4_SCK_B,TIM13_CH1,QUADSPI_BK1_IO0,,,,,EVENTOUT,"ADC3_INN3, ADC3_INP7",95
PF9,L4,,FT_h a,,TIM17_CH1N,,,,SPI5_MOSI,SAI1_FS_B,UART7_CTS,SAI4_FS_B,TIM14_CH1,QUADSPI_BK1_IO1,,,,,EVENTOUT,ADC3_INP2,95
PF10,L3,,FT_h a,,TIM16_BKIN,SAI1_D3,,,,,,,QUADSPI_CLK,SAI4_D3,,,DCMI_D11,LCD_DE,EVENTOUT,"ADC3_INN2, ADC3_INP6",95
PF11,T7,,FT_a,,,,,,SPI5_MOSI,,,,,SAI2_SD_B,,FMC_SDNRAS,DCMI_D12,,EVENTOUT,ADC1_INP2,95
PF12,R7,,FT_h a,,,,,,,,,,,,,FMC_A6,,,EVENTOUT,"ADC1_INN2, ADC1_INP6",95
PF13,P7,,FT_h a,,,,DFSDM1_DATIN6,I2C4_SMBA,,,,,,,,FMC_A7,,,EVENTOUT,ADC2_INP2,95
PF14,P8,,FT_fh a,,,,DFSDM1_CKIN6,I2C4_SCL,,,,,,,,FMC_A8,,,EVENTOUT,"ADC2_INN2, ADC2_INP6",95
